Index,X,Y,Z,Target_X,Target_Y,Target_Z
0,-0.31436,-0.0248534,0.59964,-0.21436,-0.0248534,0.59964
1,-0.31436,-0.0248534,0.59964,-0.21436,-0.0248534,0.59964
2,-0.314323,-0.0248534,0.59964,-0.21436,-0.0248534,0.59964
3,-0.31426,-0.0248534,0.59964,-0.21436,-0.0248534,0.59964
4,-0.314173,-0.0248534,0.59964,-0.21436,-0.0248534,0.59964
5,-0.31406,-0.0248534,0.59964,-0.21436,-0.0248534,0.59964
6,-0.313923,-0.0248534,0.59964,-0.21436,-0.0248534,0.59964
7,-0.31376,-0.0248535,0.59964,-0.21436,-0.0248534,0.59964
8,-0.313573,-0.0248536,0.59964,-0.21436,-0.0248534,0.59964
9,-0.31336,-0.0248537,0.59964,-0.21436,-0.0248534,0.59964
10,-0.313123,-0.0248538,0.59964,-0.21436,-0.0248534,0.59964
11,-0.31286,-0.0248539,0.59964,-0.21436,-0.0248534,0.59964
12,-0.31259,-0.024854,0.59964,-0.21436,-0.0248534,0.59964
13,-0.312305,-0.024854,0.59964,-0.21436,-0.0248534,0.59964
14,-0.312007,-0.0248541,0.59964,-0.21436,-0.0248534,0.59964
15,-0.311695,-0.0248542,0.59964,-0.21436,-0.0248534,0.59964
16,-0.31137,-0.0248543,0.59964,-0.21436,-0.0248534,0.59964
17,-0.31103,-0.0248543,0.599641,-0.21436,-0.0248534,0.59964
18,-0.310677,-0.0248544,0.599641,-0.21436,-0.0248534,0.59964
19,-0.31031,-0.0248545,0.599641,-0.21436,-0.0248534,0.59964
20,-0.30993,-0.0248545,0.599641,-0.21436,-0.0248534,0.59964
21,-0.309536,-0.0248546,0.599641,-0.21436,-0.0248534,0.59964
22,-0.309139,-0.0248546,0.599641,-0.21436,-0.0248534,0.59964
23,-0.308735,-0.0248545,0.599641,-0.21436,-0.0248534,0.59964
24,-0.308326,-0.0248545,0.599641,-0.21436,-0.0248534,0.59964
25,-0.30791,-0.0248544,0.599641,-0.21436,-0.0248534,0.59964
26,-0.307487,-0.0248543,0.59964,-0.21436,-0.0248534,0.59964
27,-0.307059,-0.0248541,0.59964,-0.21436,-0.0248534,0.59964
28,-0.306624,-0.0248539,0.59964,-0.21436,-0.0248534,0.59964
29,-0.306183,-0.0248537,0.59964,-0.21436,-0.0248534,0.59964
30,-0.305735,-0.0248535,0.59964,-0.21436,-0.0248534,0.59964
31,-0.305281,-0.0248532,0.59964,-0.21436,-0.0248534,0.59964
