Index,joint_angle_0,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_accel_0,joint_accel_1,joint_accel_2,joint_accel_3,joint_accel_4,joint_accel_5,joint_accel_6,constraint_tau_0,constraint_tau_1,constraint_tau_2,constraint_tau_3,constraint_tau_4,constraint_tau_5,constraint_tau_6,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_y,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_y,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z,joint_torque_0,joint_torque_1,joint_torque_2,joint_torque_3,joint_torque_4,joint_torque_5,joint_torque_6,actuar_current_0,actuar_current_1,actuar_current_2,actuar_current_3,actuar_current_4,actuar_current_5,actuar_current_6,actuar_voltage_0,actuar_voltage_1,actuar_voltage_2,actuar_voltage_3,actuar_voltage_4,actuar_voltage_5,actuar_voltage_6
0,0.0235629,1.35259,3.1501,4.45826,0.109115,1.56035,1.56849,0,0,5.30299e-06,0,0,0,0,0.498434,0.0162898,-0.654295,0.0186399,0.326708,-0.0691318,0.647499,0.0142222,-18.0045,-0.360914,-0.422364,-0.00889825,2.19035,-0.00360107,-0,0,0,0.504782,-0.0018305,0.0566607,-1.64422e-08,-1.76066e-06,-1.12937e-07,0,0,0,0,0,0,-0,0,0,-0.0503651,21.2394,1.03097,-1.97928,0.367033,-2.61494,0.00898804,-0.0161133,-1.87727,-0.201416,0.129909,-0.153288,0.294067,-0.0371393,23.4648,23.3229,23.1811,23.3087,23.3087,23.2804,23.1527,
1,0.0235624,1.35149,3.15011,4.45827,0.109139,1.56036,1.56848,-5.30299e-06,-0.0134912,0.000201723,0.000100757,0.000282857,7.67192e-05,0,0.49851,0.0162929,-0.654977,0.0186473,0.326651,-0.0691551,0.647596,0.0139931,-18.0032,-0.360815,-0.412573,-0.00918826,2.19065,-0.00358238,-0,0,0,0.504782,-0.0018305,0.0566607,0.00309893,-0.000107535,0.0068254,0,0,0,4.93266e-07,5.28198e-05,3.3881e-06,1.03516e-05,-2.43945e-07,2.29598e-06,-0.06656,21.2849,1.03378,-2.0918,0.390032,-2.6593,0.00323574,-0.0161133,-2.63457,-0.0742786,0.290151,-0.0332184,0.419023,-0.0483398,23.4506,23.2946,23.1385,23.252,23.3087,23.252,23.1243,
2,0.0235624,1.35148,3.15011,4.45827,0.10914,1.56036,1.56848,-5.307e-06,-0.0129647,0.00019726,0.000100757,0.000301586,8.46557e-05,0,0.494752,2.15534,-0.664074,0.27341,0.299573,1.66494,0.8404,0.0130009,-16.4739,-0.324833,-0.707914,0.00343949,1.97087,-0.0056717,3.83991e-05,0.00111983,-2.09583e-05,0.504782,-0.0018305,0.0566607,0.00297893,-0.00010124,0.00656051,-0.0101288,0.000334126,-0.022254,-0.396833,0.0132498,-0.872383,0.00484179,0.139299,-0.00258608,-0.0868915,21.2544,0.99573,-2.05716,0.387952,-2.64596,0.00857241,-0.00805664,-2.61842,-0.0644531,0.298096,-0.0241699,0.410968,-0.0332184,23.4364,23.2946,23.1385,23.2804,23.2804,23.252,23.0959,
3,0.0235624,1.35148,3.15011,4.45827,0.10914,1.56036,1.56848,-5.307e-06,-0.0129647,0.00019726,0.000100757,0.000301586,8.46557e-05,0,0.494686,2.15521,-0.662932,0.273614,0.299579,1.66438,0.839245,0.0129836,-16.474,-0.324726,-0.707852,0.00335853,1.97083,-0.00566779,3.85579e-05,0.00113366,-2.28668e-05,0.504782,-0.0018305,0.0566607,0.00297893,-0.00010124,0.00656051,-0.0102459,0.000328822,-0.0225188,-0.396743,0.0129019,-0.87238,0.00482152,0.139645,-0.00281639,-0.0868915,21.2544,0.99573,-2.05716,0.387952,-2.64596,0.00857241,-0.00805664,-2.61842,-0.0644531,0.298096,-0.0241699,0.410968,-0.0332184,23.4364,23.2946,23.1385,23.2804,23.2804,23.252,23.0959,
4,0.0235624,1.35146,3.15011,4.45827,0.109142,1.56036,1.56848,-5.307e-06,-0.0135049,0.000203424,0.000105979,0.000320104,8.46565e-05,0,0.494678,2.15519,-0.662927,0.273567,0.299572,1.66441,0.839239,0.0129787,-16.474,-0.324724,-0.707746,0.00335493,1.97084,-0.00566756,3.85579e-05,0.00113366,-2.28668e-05,0.504782,-0.0018305,0.0566607,0.00310322,-0.000104268,0.00683367,-0.0102459,0.000328822,-0.0225188,-0.396743,0.0129019,-0.87238,0.00482152,0.139645,-0.00281639,-0.0788188,21.2373,0.994743,-2.04184,0.389467,-2.6287,0.0131563,-0.0322266,-2.64259,-0.0725098,0.298205,-0.0281982,0.422993,-0.0523682,23.4364,23.3087,23.1385,23.2804,23.2946,23.2662,23.0959,
5,0.0235624,1.35146,3.15011,4.45827,0.109142,1.56036,1.56848,-5.307e-06,-0.0135049,0.000203424,0.000105979,0.000320104,8.46565e-05,0,0.494592,2.19522,-0.662814,0.277951,0.298959,1.69741,0.842598,0.012956,-16.4454,-0.324023,-0.713383,0.00357191,1.96674,-0.00570729,3.93376e-05,0.00114748,-2.46516e-05,0.504782,-0.0018305,0.0566607,0.00310322,-0.000104268,0.00683367,-0.0103731,0.000330901,-0.0227893,-0.404288,0.0130551,-0.888689,0.00493596,0.142116,-0.00302928,-0.0788188,21.2373,0.994743,-2.04184,0.389467,-2.6287,0.0131563,-0.0322266,-2.64259,-0.0725098,0.298205,-0.0281982,0.422993,-0.0523682,23.4364,23.3087,23.1385,23.2804,23.2946,23.2662,23.0959,
6,0.0235624,1.35145,3.15011,4.45827,0.109144,1.56037,1.56848,-5.30299e-06,-0.0145853,0.000199714,0.000111363,0.000341268,0.000105821,0,0.494598,2.19521,-0.662828,0.2779,0.298964,1.69745,0.842612,0.0129547,-16.4454,-0.324023,-0.713275,0.00356936,1.96675,-0.00570715,3.93376e-05,0.00114748,-2.46516e-05,0.504782,-0.0018305,0.0566607,0.00335055,-0.000106622,0.00738208,-0.0103731,0.000330901,-0.0227893,-0.404288,0.0130551,-0.888689,0.00493596,0.142116,-0.00302928,-0.0731018,21.2105,1.0096,-2.02257,0.390575,-2.62081,0.0123467,-0.0161133,-2.62646,-0.0664368,0.290039,-0.0166092,0.414995,-0.0443115,23.4506,23.2946,23.1385,23.2804,23.2946,23.2378,23.0959,
7,0.0235624,1.35145,3.15011,4.45827,0.109144,1.56037,1.56848,-5.30299e-06,-0.0145853,0.000199714,0.000111363,0.000341268,0.000105821,0,0.494397,2.25744,-0.66152,0.285458,0.298329,1.74809,0.846787,0.0129016,-16.4009,-0.322825,-0.721854,0.00383236,1.96037,-0.00575069,3.94635e-05,0.0011641,-2.65686e-05,0.504782,-0.0018305,0.0566607,0.00335055,-0.000106622,0.00738208,-0.0105092,0.000326006,-0.0230869,-0.415792,0.0129788,-0.91407,0.00498748,0.145991,-0.00326513,-0.0731018,21.2105,1.0096,-2.02257,0.390575,-2.62081,0.0123467,-0.0161133,-2.62646,-0.0664368,0.290039,-0.0166092,0.414995,-0.0443115,23.4506,23.2946,23.1385,23.2804,23.2946,23.2378,23.0959,
8,0.0235624,1.35145,3.15011,4.45827,0.109144,1.56037,1.56848,-5.30299e-06,-0.0145853,0.000199714,0.000111363,0.000341268,0.000105821,0,0.494397,2.25744,-0.66152,0.285458,0.298329,1.74809,0.846787,0.0129016,-16.4009,-0.322825,-0.721854,0.00383236,1.96037,-0.00575069,3.94635e-05,0.0011641,-2.65686e-05,0.504782,-0.0018305,0.0566607,0.00335055,-0.000106622,0.00738208,-0.0105092,0.000326006,-0.0230869,-0.415792,0.0129788,-0.91407,0.00498748,0.145991,-0.00326513,-0.0731018,21.2105,1.0096,-2.02257,0.390575,-2.62081,0.0123467,-0.0161133,-2.62646,-0.0664368,0.290039,-0.0166092,0.414995,-0.0443115,23.4506,23.2946,23.1385,23.2804,23.2946,23.2378,23.0959,
9,0.0235624,1.35145,3.15011,4.45827,0.109146,1.56037,1.56848,-5.30299e-06,-0.0145853,0.000199534,0.000111363,0.000359787,0.000113756,0,0.494397,2.25744,-0.66152,0.285458,0.29833,1.74808,0.84679,0.0129016,-16.4009,-0.322825,-0.721853,0.00383267,1.96037,-0.00575075,3.94635e-05,0.0011641,-2.65686e-05,0.504782,-0.0018305,0.0566607,0.00335042,-0.000104601,0.00738291,-0.0105092,0.000326006,-0.0230869,-0.415792,0.0129788,-0.91407,0.00498748,0.145991,-0.00326513,-0.082022,21.2105,1.00133,-1.99183,0.361667,-2.60767,0.0177663,-0.0180152,-2.62646,-0.0569691,0.290039,-0.0205405,0.42305,-0.0371393,23.4364,23.2946,23.1243,23.252,23.2804,23.252,23.1101,
