Index,joint_angle_0,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_accel_0,joint_accel_1,joint_accel_2,joint_accel_3,joint_accel_4,joint_accel_5,joint_accel_6,constraint_tau_0,constraint_tau_1,constraint_tau_2,constraint_tau_3,constraint_tau_4,constraint_tau_5,constraint_tau_6,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_y,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_y,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z,joint_torque_0,joint_torque_1,joint_torque_2,joint_torque_3,joint_torque_4,joint_torque_5,joint_torque_6,actuar_current_0,actuar_current_1,actuar_current_2,actuar_current_3,actuar_current_4,actuar_current_5,actuar_current_6,actuar_voltage_0,actuar_voltage_1,actuar_voltage_2,actuar_voltage_3,actuar_voltage_4,actuar_voltage_5,actuar_voltage_6
0,6.27263,1.52976,3.15313,4.23854,6.27093,2.00142,1.55352,0.0172862,-0.0045001,-0.0130277,-0.0248238,0.0123221,0.000894178,0,0.0714769,-6.34232,1.21809,150.837,1.05423,-157.254,0.955157,-0.060897,-20,-0.372301,20,-0.137497,-1.10946,0.00263957,0.000563363,0.00186399,-0.0011137,0.494496,0.00105289,0.0163484,-0.00590946,-0.0019781,0.0026079,1.49167,-0.00476986,0.005,44.75,-0.143096,0.15,0.0225345,0.0745595,-0.044548,1.01487,0.0261752,-1.78713,-1.74061,0.990033,-0.574848,0.0483278,0.419023,-0.274044,-0.217529,-0.088623,0.080667,0.463327,-0.0604248,23.5074,23.3371,23.1952,23.2946,23.252,23.3087,23.1527,
1,6.27263,1.52976,3.15313,4.23854,6.27093,2.00142,1.55352,0.0172862,-0.0045001,-0.0130277,-0.0248238,0.0123221,0.000894178,0,0.109046,-6.61432,0.485992,152.087,1.1324,-158.652,1.7948,-0.0505667,-20,-0.43673,20,-0.0967329,-1.10392,0.00524257,0,0,0,0.494496,0.00105289,0.0163484,-0.00590946,-0.0019781,0.0026079,1.5,0,0.005,45.1773,0.0593431,0.071763,-0.0359578,-0.0394911,0.0116758,1.01487,0.0261752,-1.78713,-1.74061,0.990033,-0.574848,0.0483278,0.419023,-0.274044,-0.217529,-0.088623,0.080667,0.463327,-0.0604248,23.5074,23.3371,23.1952,23.2946,23.252,23.3087,23.1527,
2,6.27265,1.52976,3.15312,4.23851,6.27094,2.00142,1.55352,0.0172687,-0.00465219,-0.0135049,-0.0245789,0.0153369,0.000695515,0,0.109677,-6.61588,0.48366,152.087,1.13177,-158.654,1.79463,-0.0503856,-20,-0.436983,20,-0.0967514,-1.10377,0.00524377,0,0,0,0.494496,0.00105289,0.0163484,-0.00580096,-0.00154443,0.00264045,1.5,0,0.005,45.1773,0.0593431,0.071763,-0.0359578,-0.0394911,0.0116758,0.968523,0.0477285,-1.76313,-1.68798,0.981201,-0.535303,0.0577992,0.410968,-0.265991,-0.209473,-0.0809682,0.0284845,0.463274,-0.0569691,23.4932,23.3371,23.2094,23.3229,23.2378,23.3087,23.1669,
3,6.27265,1.52976,3.15312,4.23851,6.27094,2.00142,1.55352,0.0172687,-0.00465219,-0.0135049,-0.0245789,0.0153369,0.000695515,0,0.107337,-6.61619,0.528156,152.083,1.12528,-158.651,1.75171,-0.051029,-20,-0.43334,20,-0.0993145,-1.10378,0.00587713,-1.98118e-05,-1.96804e-05,2.2726e-06,0.494496,0.00105289,0.0163484,-0.00580096,-0.00154443,0.00264045,1.50008,2.17124e-05,0.005,45.1766,0.0469843,0.0707866,-0.0402417,-0.0399792,0.00621972,0.968523,0.0477285,-1.76313,-1.68798,0.981201,-0.535303,0.0577992,0.410968,-0.265991,-0.209473,-0.0809682,0.0284845,0.463274,-0.0569691,23.4932,23.3371,23.2094,23.3229,23.2378,23.3087,23.1669,
4,6.27267,1.52975,3.15311,4.23849,6.27096,2.00142,1.55352,0.0180553,-0.00482775,-0.0145853,-0.0251191,0.014817,0.000590574,0,0.107984,-6.61776,0.525487,152.083,1.1247,-158.653,1.75209,-0.0508312,-20,-0.433629,20,-0.0992854,-1.10362,0.00587531,-1.98118e-05,-1.96804e-05,2.2726e-06,0.494496,0.00105289,0.0163484,-0.00591077,-0.00159841,0.0027229,1.50008,2.17124e-05,0.005,45.1766,0.0469843,0.0707866,-0.0402417,-0.0399792,0.00621972,0.96146,0.0809553,-1.71874,-1.64249,0.968818,-0.513536,0.0457549,0.410889,-0.257812,-0.185303,-0.0970148,0.012085,0.451172,-0.0644531,23.479,23.3513,23.1952,23.3229,23.2236,23.3229,23.1527,
5,6.27267,1.52975,3.15311,4.23849,6.27096,2.00142,1.55352,0.0180553,-0.00482775,-0.0145853,-0.0251191,0.014817,0.000590574,0,0.108415,-6.62151,0.516947,152.101,1.12784,-158.672,1.7647,-0.0507126,-20,-0.43439,20,-0.0987551,-1.10352,0.00608751,-4.00145e-05,-3.97475e-05,8.08831e-06,0.494496,0.00105289,0.0163484,-0.00591077,-0.00159841,0.0027229,1.50017,5.38066e-05,0.005,45.1824,0.0495665,0.068313,-0.042767,-0.0417273,0.00889607,0.96146,0.0809553,-1.71874,-1.64249,0.968818,-0.513536,0.0457549,0.410889,-0.257812,-0.185303,-0.0970148,0.012085,0.451172,-0.0644531,23.479,23.3513,23.1952,23.3229,23.2236,23.3229,23.1527,
6,6.27269,1.52975,3.15309,4.23846,6.27097,2.00142,1.55352,0.0178264,-0.00482775,-0.0148554,-0.0260799,0.0135049,0.000590574,0,0.109059,-6.62336,0.514532,152.101,1.12746,-158.674,1.76521,-0.050516,-20,-0.434657,20,-0.0987207,-1.10335,0.00608528,-4.00145e-05,-3.97475e-05,8.08831e-06,0.494496,0.00105289,0.0163484,-0.00618599,-0.00155987,0.00275231,1.50017,5.38066e-05,0.005,45.1824,0.0495665,0.068313,-0.042767,-0.0417273,0.00889607,0.924211,0.118779,-1.73607,-1.57761,0.970502,-0.473902,0.0417307,0.378662,-0.241699,-0.169381,-0.0649547,0.0127387,0.451244,-0.0684814,23.479,23.3371,23.1811,23.3229,23.2236,23.3087,23.1669,
7,6.27269,1.52975,3.15309,4.23846,6.27097,2.00142,1.55352,0.0178264,-0.00482775,-0.0148554,-0.0260799,0.0135049,0.000590574,0,0.108885,-6.63099,0.517251,152.133,1.13005,-158.711,1.76422,-0.0505638,-20,-0.434558,20,-0.0988208,-1.10327,0.00611233,-5.95559e-05,-6.21821e-05,1.4247e-05,0.494496,0.00105289,0.0163484,-0.00618599,-0.00155987,0.00275231,1.50027,7.84878e-05,0.005,45.1937,0.0491506,0.0674308,-0.0429699,-0.0445123,0.011066,0.924211,0.118779,-1.73607,-1.57761,0.970502,-0.473902,0.0417307,0.378662,-0.241699,-0.169381,-0.0649547,0.0127387,0.451244,-0.0684814,23.479,23.3371,23.1811,23.3229,23.2236,23.3087,23.1669,
8,6.27271,1.52975,3.15308,4.23843,6.27098,2.00142,1.55352,0.0183666,-0.00468011,-0.0160492,-0.0264696,0.011074,0.000561717,0,0.10959,-6.63275,0.514838,152.133,1.12987,-158.712,1.76517,-0.0503439,-20,-0.434824,20,-0.098753,-1.10309,0.00610796,-5.95559e-05,-6.21821e-05,1.4247e-05,0.494496,0.00105289,0.0163484,-0.00633973,-0.00166868,0.00271522,1.50027,7.84878e-05,0.005,45.1937,0.0491506,0.0674308,-0.0429699,-0.0445123,0.011066,0.882542,0.1331,-1.69174,-1.52079,0.963105,-0.431792,0.0205822,0.362549,-0.233781,-0.177246,-0.0569691,0.0254773,0.447162,-0.0645789,23.479,23.3513,23.1952,23.2946,23.2378,23.3229,23.1669,
9,6.27271,1.52975,3.15308,4.23843,6.27098,2.00142,1.55352,0.0183666,-0.00468011,-0.0160492,-0.0264696,0.011074,0.000561717,0,0.110208,-6.63753,0.502571,152.155,1.13648,-158.737,1.78167,-0.0501739,-20,-0.435908,20,-0.0979368,-1.10298,0.00616165,-8.03873e-05,-8.44693e-05,2.3254e-05,0.494496,0.00105289,0.0163484,-0.00633973,-0.00166868,0.00271522,1.50037,9.99233e-05,0.005,45.2012,0.0530581,0.0685434,-0.0441402,-0.0464888,0.0168308,0.882542,0.1331,-1.69174,-1.52079,0.963105,-0.431792,0.0205822,0.362549,-0.233781,-0.177246,-0.0569691,0.0254773,0.447162,-0.0645789,23.479,23.3513,23.1952,23.2946,23.2378,23.3229,23.1669,
10,6.27272,1.52974,3.15306,4.23841,6.27099,2.00142,1.55352,0.018348,-0.0043201,-0.0162058,-0.0261995,0.00864312,0.000431132,0,0.110884,-6.63928,0.500085,152.155,1.13647,-158.739,1.78304,-0.0499647,-20,-0.436176,20,-0.0978438,-1.10281,0.00615557,-8.03873e-05,-8.44693e-05,2.3254e-05,0.494496,0.00105289,0.0163484,-0.00635923,-0.0018511,0.00255749,1.50037,9.99233e-05,0.005,45.2012,0.0530581,0.0685434,-0.0441402,-0.0464888,0.0168308,0.872613,0.16149,-1.65052,-1.46663,0.949836,-0.397826,0.0290009,0.338379,-0.387054,-0.161936,0.0821619,0.0444942,0.439105,-0.0684814,23.479,23.3513,23.2094,23.3087,23.2378,23.3229,23.1669,
11,6.27272,1.52974,3.15306,4.23841,6.27099,2.00142,1.55352,0.018348,-0.0043201,-0.0162058,-0.0261995,0.00864312,0.000431132,0,0.112026,-6.64111,0.478124,152.165,1.14203,-158.749,1.80648,-0.0496509,-20,-0.438006,20,-0.0965242,-1.10269,0.00595384,-9.92642e-05,-0.000106447,3.42353e-05,0.494496,0.00105289,0.0163484,-0.00635923,-0.0018511,0.00255749,1.50046,0.000128966,0.005,45.2046,0.059402,0.0732753,-0.0431686,-0.0477402,0.0216303,0.872613,0.16149,-1.65052,-1.46663,0.949836,-0.397826,0.0290009,0.338379,-0.387054,-0.161936,0.0821619,0.0444942,0.439105,-0.0684814,23.479,23.3513,23.2094,23.3087,23.2378,23.3229,23.1669,
12,6.27274,1.52973,3.15304,4.23839,6.271,2.00142,1.55352,0.0194668,-0.00561589,-0.0172687,-0.0232048,0.00780223,0.000324776,0,0.112773,-6.64231,0.47548,152.165,1.14198,-158.751,1.80779,-0.0494315,-20,-0.438268,20,-0.096442,-1.10257,0.00594862,-9.92642e-05,-0.000106447,3.42353e-05,0.494496,0.00105289,0.0163484,-0.00515834,-0.00205981,0.00299024,1.50046,0.000128966,0.005,45.2046,0.059402,0.0732753,-0.0431686,-0.0477402,0.0216303,0.837351,0.195226,-1.6503,-1.4141,0.930606,-0.377493,0.0212163,0.354858,-0.701344,-0.169189,0.386803,0.0726216,0.423146,-0.0645789,23.479,23.3371,23.1811,23.3087,23.252,23.3087,23.1669,
13,6.27274,1.52973,3.15304,4.23839,6.271,2.00142,1.55352,0.0194668,-0.00561589,-0.0172687,-0.0232048,0.00780223,0.000324776,0,0.114219,-6.61878,0.449339,152.068,1.14595,-158.637,1.83655,-0.0490338,-20,-0.440029,20,-0.0948741,-1.1027,0.00606595,-0.000119729,-0.000120995,4.52367e-05,0.494496,0.00105289,0.0163484,-0.00515834,-0.00205981,0.00299024,1.50053,0.000157924,0.005,45.1705,0.0665319,0.0602928,-0.0454938,-0.0399516,0.0256811,0.837351,0.195226,-1.6503,-1.4141,0.930606,-0.377493,0.0212163,0.354858,-0.701344,-0.169189,0.386803,0.0726216,0.423146,-0.0645789,23.479,23.3371,23.1811,23.3087,23.252,23.3087,23.1669,
14,6.27276,1.52971,3.15303,4.23837,6.271,2.00142,1.55352,0.0190405,-0.0100066,-0.016746,-0.0137923,0.00805837,0.00027714,0,0.115031,-6.61864,0.446291,152.068,1.14606,-158.637,1.83813,-0.0488229,-20,-0.44027,20,-0.0947918,-1.10273,0.00606088,-0.000119729,-0.000120995,4.52367e-05,0.494496,0.00105289,0.0163484,-0.00129041,-0.00197941,0.00446799,1.50053,0.000157924,0.005,45.1705,0.0665319,0.0602928,-0.0454938,-0.0399516,0.0256811,0.793687,0.210302,-1.63197,-1.35191,0.91652,-0.350066,0.030807,0.314312,-0.918775,-0.137907,0.612305,0.076644,0.410889,-0.0685998,23.4648,23.2946,23.1811,23.3229,23.252,23.2946,23.1527,
15,6.27276,1.52971,3.15303,4.23837,6.271,2.00142,1.55352,0.0190405,-0.0100066,-0.016746,-0.0137923,0.00805837,0.00027714,0,0.115198,-6.54034,0.447954,151.735,1.14244,-158.253,1.83063,-0.0487769,-20,-0.438862,20,-0.0947772,-1.10348,0.00610485,-0.000139615,-0.000118353,5.7713e-05,0.494496,0.00105289,0.0163484,-0.00129041,-0.00197941,0.00446799,1.50052,0.000195535,0.005,45.0542,0.0652483,0.0159603,-0.0457394,-0.0123327,0.024691,0.793687,0.210302,-1.63197,-1.35191,0.91652,-0.350066,0.030807,0.314312,-0.918775,-0.137907,0.612305,0.076644,0.410889,-0.0685998,23.4648,23.2946,23.1811,23.3229,23.252,23.2946,23.1527,
16,6.27278,1.52968,3.15301,4.23837,6.27101,2.00142,1.55352,0.0199872,-0.0313313,-0.0168015,-0.000810292,0.00789735,0.000215553,0,0.116146,-6.53743,0.44479,151.735,1.14234,-158.251,1.83171,-0.0485699,-20,-0.438999,20,-0.0947503,-1.10369,0.00610394,-0.000139615,-0.000118353,5.7713e-05,0.494496,0.00105289,0.0163484,0.00814162,-0.00226038,0.0125371,1.50052,0.000195535,0.005,45.0542,0.0652483,0.0159603,-0.0457394,-0.0123327,0.024691,0.773604,0.230977,-1.601,-1.2918,0.905679,-0.316895,0.0488252,0.322266,-1.05554,-0.169189,0.668701,0.080667,0.40688,-0.0604248,23.4932,23.3229,23.1669,23.2946,23.2378,23.3087,23.1527,
17,6.27278,1.52968,3.15301,4.23837,6.27101,2.00142,1.55352,0.0199872,-0.0313313,-0.0168015,-0.000810292,0.00789735,0.000215553,0,0.118932,-6.34374,0.403793,150.914,1.13921,-157.305,1.86165,-0.0478038,-20,-0.439214,20,-0.0921355,-1.10564,0.00610272,-0.000160884,-8.86883e-05,6.99249e-05,0.494496,0.00105289,0.0163484,0.00814162,-0.00226038,0.0125371,1.5004,0.000224004,0.005,44.7677,0.0745314,-0.226114,-0.0472674,0.0573434,0.0270656,0.773604,0.230977,-1.601,-1.2918,0.905679,-0.316895,0.0488252,0.322266,-1.05554,-0.169189,0.668701,0.080667,0.40688,-0.0604248,23.4932,23.3229,23.1669,23.2946,23.2378,23.3087,23.1527,
18,6.27278,1.52968,3.15301,4.23837,6.27101,2.00142,1.55352,0.0199872,-0.0313313,-0.0168015,-0.000810292,0.00789735,0.000215553,0,0.118932,-6.34374,0.403793,150.914,1.13921,-157.305,1.86165,-0.0478038,-20,-0.439214,20,-0.0921355,-1.10564,0.00610272,-0.000160884,-8.86883e-05,6.99249e-05,0.494496,0.00105289,0.0163484,0.00814162,-0.00226038,0.0125371,1.5004,0.000224004,0.005,44.7677,0.0745314,-0.226114,-0.0472674,0.0573434,0.0270656,0.773604,0.230977,-1.601,-1.2918,0.905679,-0.316895,0.0488252,0.322266,-1.05554,-0.169189,0.668701,0.080667,0.40688,-0.0604248,23.4932,23.3229,23.1669,23.2946,23.2378,23.3087,23.1527,
19,6.2728,1.52964,3.15299,4.23838,6.27102,2.00142,1.55352,0.0189068,-0.0469493,-0.0172862,0.011074,0.00846019,0.000108259,0,0.119734,-6.33783,0.40103,150.915,1.13884,-157.3,1.8621,-0.0476089,-20,-0.439323,20,-0.092116,-1.10603,0.00610298,-0.000160884,-8.86883e-05,6.99249e-05,0.494496,0.00105289,0.0163484,0.015724,-0.00156916,0.0183825,1.5004,0.000224004,0.005,44.7677,0.0745314,-0.226114,-0.0472674,0.0573434,0.0270656,0.745819,0.272491,-1.61856,-1.3002,0.908346,-0.273354,0.0581007,0.298205,-0.76555,-0.177429,0.636475,0.0927389,0.390768,-0.0644531,23.479,23.3229,23.1811,23.2804,23.2378,23.3087,23.1527,
20,6.2728,1.52964,3.15299,4.23838,6.27102,2.00142,1.55352,0.0189068,-0.0469493,-0.0172862,0.011074,0.00846019,0.000108259,0,0.116599,-6.18141,0.470122,150.239,1.12967,-156.526,1.78289,-0.0484712,-20,-0.431122,20,-0.0956809,-1.1078,0.00671549,-0.000182526,-3.17503e-05,7.90343e-05,0.494496,0.00105289,0.0163484,0.015724,-0.00156916,0.0183825,1.50017,0.00024541,0.005,44.5332,0.0544372,-0.401475,-0.0501322,0.114381,0.023939,0.745819,0.272491,-1.61856,-1.3002,0.908346,-0.273354,0.0581007,0.298205,-0.76555,-0.177429,0.636475,0.0927389,0.390768,-0.0644531,23.479,23.3229,23.1811,23.2804,23.2378,23.3087,23.1527,
21,6.27282,1.52958,3.15297,4.2384,6.27103,2.00142,1.55352,0.0183666,-0.0571752,-0.0172687,0.019447,0.00861007,0.000108259,0,0.117346,-6.17366,0.467607,150.241,1.12932,-156.519,1.78333,-0.04828,-20,-0.431212,20,-0.0956442,-1.10836,0.00671511,-0.000182526,-3.17503e-05,7.90343e-05,0.494496,0.00105289,0.0163484,0.0208581,-0.00129767,0.0222006,1.50017,0.00024541,0.005,44.5332,0.0544372,-0.401475,-0.0501322,0.114381,0.023939,0.754413,0.399398,-1.58493,-1.35147,0.906696,-0.237859,0.048841,0.330715,-0.676806,-0.177246,0.596246,0.0846906,0.38269,-0.0684814,23.479,23.3513,23.1811,23.2946,23.2236,23.2946,23.1385,
22,6.27282,1.52958,3.15297,4.2384,6.27103,2.00142,1.55352,0.0183666,-0.0571752,-0.0172687,0.019447,0.00861007,0.000108259,0,0.116413,-6.064,0.492033,149.769,1.12424,-155.979,1.75173,-0.0485366,-20,-0.427429,20,-0.0968146,-1.10961,0.00697212,-0.000204396,4.76901e-05,8.75142e-05,0.494496,0.00105289,0.0163484,0.0208581,-0.00129767,0.0222006,1.49984,0.000262765,0.005,44.3694,0.0468131,-0.516019,-0.0514721,0.154751,0.0227349,0.754413,0.399398,-1.58493,-1.35147,0.906696,-0.237859,0.048841,0.330715,-0.676806,-0.177246,0.596246,0.0846906,0.38269,-0.0684814,23.479,23.3513,23.1811,23.2946,23.2236,23.2946,23.1385,
23,6.27282,1.52958,3.15297,4.2384,6.27103,2.00142,1.55352,0.0183666,-0.0571752,-0.0172687,0.019447,0.00861007,0.000108259,0,0.116413,-6.064,0.492033,149.769,1.12424,-155.979,1.75173,-0.0485366,-20,-0.427429,20,-0.0968146,-1.10961,0.00697212,-0.000204396,4.76901e-05,8.75142e-05,0.494496,0.00105289,0.0163484,0.0208581,-0.00129767,0.0222006,1.49984,0.000262765,0.005,44.3694,0.0468131,-0.516019,-0.0514721,0.154751,0.0227349,0.754413,0.399398,-1.58493,-1.35147,0.906696,-0.237859,0.048841,0.330715,-0.676806,-0.177246,0.596246,0.0846906,0.38269,-0.0684814,23.479,23.3513,23.1811,23.2946,23.2236,23.2946,23.1385,
24,6.27284,1.52951,3.15296,4.23843,6.27104,2.00142,1.55352,0.0175538,-0.0642832,-0.0170161,0.0255784,0.0091422,5.85117e-05,0,0.117089,-6.05555,0.489558,149.771,1.12379,-155.972,1.75216,-0.0483471,-20,-0.427532,20,-0.096758,-1.11025,0.00697079,-0.000204396,4.76901e-05,8.75142e-05,0.494496,0.00105289,0.0163484,0.0245152,-0.000963293,0.02484,1.49984,0.000262765,0.005,44.3694,0.0468131,-0.516019,-0.0514721,0.154751,0.0227349,0.756568,0.547955,-1.58353,-1.47179,0.901444,-0.236878,0.0495315,0.346436,-0.676758,-0.185478,0.660694,0.0887145,0.374655,-0.0645789,23.479,23.3229,23.1811,23.2946,23.2236,23.2946,23.1385,
25,6.27284,1.52951,3.15296,4.23843,6.27104,2.00142,1.55352,0.0175538,-0.0642832,-0.0170161,0.0255784,0.0091422,5.85117e-05,0,0.115677,-5.97495,0.52132,149.423,1.11828,-155.574,1.71447,-0.0487353,-20,-0.42362,20,-0.0984073,-1.11122,0.00723184,-0.000226332,0.000136979,9.59768e-05,0.494496,0.00105289,0.0163484,0.0245152,-0.000963293,0.02484,1.49947,0.000283256,0.005,44.2486,0.0373965,-0.5952,-0.052555,0.18469,0.0203629,0.756568,0.547955,-1.58353,-1.47179,0.901444,-0.236878,0.0495315,0.346436,-0.676758,-0.185478,0.660694,0.0887145,0.374655,-0.0645789,23.479,23.3229,23.1811,23.2946,23.2236,23.2946,23.1385,
26,6.27285,1.52945,3.15294,4.23846,6.27105,2.00142,1.55352,0.0156498,-0.0696851,-0.0165507,0.0307599,0.0096555,0,0,0.116268,-5.96593,0.519627,149.424,1.11782,-155.566,1.71437,-0.0485461,-20,-0.423679,20,-0.0983607,-1.11193,0.00723154,-0.000226332,0.000136979,9.59768e-05,0.494496,0.00105289,0.0163484,0.0274423,-0.0002679,0.026829,1.49947,0.000283256,0.005,44.2486,0.0373965,-0.5952,-0.052555,0.18469,0.0203629,0.735963,0.719434,-1.55291,-1.57669,0.921484,-0.211852,0.043734,0.362638,-0.725142,-0.209628,0.725142,0.0887145,0.358543,-0.0685998,23.4648,23.3229,23.1811,23.3087,23.2378,23.2804,23.1385,
27,6.27285,1.52945,3.15294,4.23846,6.27105,2.00142,1.55352,0.0156498,-0.0696851,-0.0165507,0.0307599,0.0096555,0,0,0.112542,-5.90022,0.594415,149.134,1.10989,-155.237,1.63302,-0.0495707,-20,-0.416483,20,-0.102428,-1.11284,0.00763267,-0.000248928,0.000234922,0.000101656,0.494496,0.00105289,0.0163484,0.0274423,-0.0002679,0.026829,1.49906,0.00028186,0.005,44.1486,0.0164928,-0.654869,-0.0531686,0.209652,0.015771,0.735963,0.719434,-1.55291,-1.57669,0.921484,-0.211852,0.043734,0.362638,-0.725142,-0.209628,0.725142,0.0887145,0.358543,-0.0685998,23.4648,23.3229,23.1811,23.3087,23.2378,23.2804,23.1385,
28,6.27285,1.52945,3.15294,4.23846,6.27105,2.00142,1.55352,0.0156498,-0.0696851,-0.0165507,0.0307599,0.0096555,0,0,0.112542,-5.90022,0.594415,149.134,1.10989,-155.237,1.63302,-0.0495707,-20,-0.416483,20,-0.102428,-1.11284,0.00763267,-0.000248928,0.000234922,0.000101656,0.494496,0.00105289,0.0163484,0.0274423,-0.0002679,0.026829,1.49906,0.00028186,0.005,44.1486,0.0164928,-0.654869,-0.0531686,0.209652,0.015771,0.735963,0.719434,-1.55291,-1.57669,0.921484,-0.211852,0.043734,0.362638,-0.725142,-0.209628,0.725142,0.0887145,0.358543,-0.0685998,23.4648,23.3229,23.1811,23.3087,23.2378,23.2804,23.1385,
29,6.27287,1.52937,3.15292,4.23849,6.27106,2.00142,1.55352,0.0151255,-0.0777881,-0.016746,0.0361931,0.0100066,-5.52838e-05,0,0.113147,-5.88972,0.592652,149.136,1.10926,-155.228,1.63258,-0.0493987,-20,-0.416499,20,-0.102417,-1.11362,0.00763484,-0.000248928,0.000234922,0.000101656,0.494496,0.00105289,0.0163484,0.0311648,6.34743e-05,0.0298845,1.49906,0.00028186,0.005,44.1486,0.0164928,-0.654869,-0.0531686,0.209652,0.015771,0.654956,1.03291,-1.54409,-1.69597,0.952214,-0.178044,0.0529973,0.394775,-0.781536,-0.217529,0.821817,0.0887145,0.350487,-0.0645789,23.479,23.3229,23.1669,23.2946,23.2378,23.2804,23.1243,
30,6.27287,1.52937,3.15292,4.23849,6.27106,2.00142,1.55352,0.0151255,-0.0777881,-0.016746,0.0361931,0.0100066,-5.52838e-05,0,0.111615,-5.80611,0.626815,148.774,1.10442,-154.815,1.59336,-0.04982,-20,-0.412341,20,-0.104171,-1.11466,0.00798148,-0.000271038,0.000346043,0.000105816,0.494496,0.00105289,0.0163484,0.0311648,6.34743e-05,0.0298845,1.4986,0.000279802,0.005,44.0231,0.00648984,-0.746536,-0.0550069,0.241043,0.0141118,0.654956,1.03291,-1.54409,-1.69597,0.952214,-0.178044,0.0529973,0.394775,-0.781536,-0.217529,0.821817,0.0887145,0.350487,-0.0645789,23.479,23.3229,23.1669,23.2946,23.2378,23.2804,23.1243,
