Index,joint_angle_0,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_accel_0,joint_accel_1,joint_accel_2,joint_accel_3,joint_accel_4,joint_accel_5,joint_accel_6,constraint_tau_0,constraint_tau_1,constraint_tau_2,constraint_tau_3,constraint_tau_4,constraint_tau_5,constraint_tau_6,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_y,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_y,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z,joint_torque_0,joint_torque_1,joint_torque_2,joint_torque_3,joint_torque_4,joint_torque_5,joint_torque_6,actuar_current_0,actuar_current_1,actuar_current_2,actuar_current_3,actuar_current_4,actuar_current_5,actuar_current_6,actuar_voltage_0,actuar_voltage_1,actuar_voltage_2,actuar_voltage_3,actuar_voltage_4,actuar_voltage_5,actuar_voltage_6
0,6.28311,0.261913,3.14181,4.01419,0.000900854,0.9624,1.57038,0,0,0,0,0,-1.05821e-05,0,2.05358,0.453023,-2.46638,-0.15196,-0.399198,0.604455,0.867885,-0.035068,-9.00272,-0.20609,4.34192,0.000827548,2.16714,-0.0038449,0,0,-0,0.395143,0.00138105,0.383922,2.56871e-09,-6.35325e-10,-1.12095e-06,0,0,-0.005,0,0,-0.15,0,0,-0,-0.481342,13.1287,1.31736,-7.05423,0.404166,-2.33495,-0.184352,0.129158,-0.991,0.041081,0.878211,-0.100708,0.45119,-0.0205405,23.479,23.3229,23.1669,23.3087,23.2094,23.3087,23.1385,
1,6.28309,0.279616,3.14304,4.01067,0.000968397,0.962168,1.57038,-0.000121784,0.257682,0.0210676,-0.0893117,0.00253719,-0.0166448,0,1.93137,0.472697,-2.33283,-0.173205,-0.396061,0.646019,0.861592,-0.0364219,-9.22285,-0.210872,4.15417,-8.51796e-05,2.16157,-0.00376749,0,0,-0,0.395143,0.00138105,0.383922,0.0130556,-0.00692263,-0.129154,0,0,-0.005,0,0,-0.15,0,0,-0,-0.642911,11.9286,1.15382,-6.2707,0.423764,-2.42161,-0.163318,-0.153288,-0.652787,0.14502,0.265869,-0.0245033,0.161133,-0.0245033,23.5074,23.3797,23.2378,23.3513,23.2662,23.3371,23.1952,
2,6.28309,0.27987,3.14306,4.01058,0.000969349,0.962148,1.57038,-0.000126985,0.257943,0.0207975,-0.0918331,0.00221266,-0.0189854,0,1.92968,0.473003,-2.33114,-0.174421,-0.396118,0.647546,0.861651,-0.0364471,-9.22626,-0.210957,4.15103,-8.75226e-05,2.16152,-0.0037672,0,0,-0,0.395143,0.00138105,0.383922,0.0123774,-0.00685528,-0.130207,0,0,-0.005,0,0,-0.15,0,0,-0,-0.618464,11.8403,1.16258,-6.26911,0.442391,-2.48449,-0.151888,-0.14502,-0.660694,0.153922,0.290151,-0.012085,0.165161,-0.0127387,23.479,23.3797,23.2236,23.3513,23.252,23.3371,23.1952,
3,6.28309,0.280144,3.14308,4.01048,0.0009703,0.962127,1.57038,-0.000126983,0.25779,0.0210676,-0.092032,0.00179963,-0.0213161,0,1.92758,0.4728,-2.32887,-0.175048,-0.39602,0.647974,0.861358,-0.0364707,-9.22963,-0.211069,4.14805,-0.000105948,2.16144,-0.00376649,0,0,-0,0.395143,0.00138105,0.383922,0.0122555,-0.00698319,-0.130445,0,0,-0.005,0,0,-0.15,0,0,-0,-0.584899,11.8285,1.16529,-6.29378,0.459244,-2.50086,-0.158738,-0.161133,-0.563965,0.169955,0.314209,-0.0145243,0.173265,-0.0113938,23.4932,23.3513,23.2094,23.3513,23.2662,23.3371,23.1952,
4,6.28309,0.2804,3.1431,4.01039,0.000971251,0.962105,1.57038,-0.000127079,0.259294,0.0218779,-0.0921032,0.00147511,-0.022148,0,1.92513,0.472849,-2.32595,-0.175421,-0.395641,0.648403,0.860582,-0.036494,-9.23272,-0.211203,4.14506,-0.000141659,2.16133,-0.00376509,0,0,-0,0.395143,0.00138105,0.383922,0.0124129,-0.00728819,-0.131147,0,0,-0.005,0,0,-0.15,0,0,-0,-0.598965,11.7347,1.15818,-6.29621,0.471122,-2.48959,-0.15802,-0.161334,-0.548088,0.153288,0.282442,0,0.181319,-0.0166092,23.4932,23.3655,23.2094,23.3655,23.252,23.3229,23.1811,
5,6.28309,0.280658,3.14312,4.01029,0.000973154,0.962085,1.57038,-0.000132374,0.261724,0.0225479,-0.0937238,0.00126845,-0.0188076,0,1.92284,0.473807,-2.3232,-0.175073,-0.395316,0.649021,0.859863,-0.0365207,-9.23563,-0.211311,4.14214,-0.000173124,2.16125,-0.00376354,0,0,-0,0.395143,0.00138105,0.383922,0.0122986,-0.00753198,-0.132209,0,0,-0.005,0,0,-0.15,0,0,-0,-0.585766,11.7547,1.17738,-6.32959,0.465761,-2.47209,-0.158476,-0.153288,-0.588135,0.1372,0.273926,-0.00805664,0.181453,-0.0245033,23.4932,23.3655,23.2094,23.3513,23.252,23.3371,23.1952,
6,6.28309,0.280916,3.14315,4.0102,0.000976008,0.962068,1.57038,-0.000132274,0.261724,0.0234985,-0.0972351,0.00126859,-0.0172862,0,1.92054,0.474748,-2.32031,-0.175439,-0.394863,0.650339,0.859181,-0.0365468,-9.23879,-0.211439,4.1393,-0.000209599,2.16123,-0.00376195,0,0,-0,0.395143,0.00138105,0.383922,0.0113424,-0.0078557,-0.133029,0,0,-0.005,0,0,-0.15,0,0,-0,-0.587537,11.6453,1.18426,-6.39381,0.43263,-2.4036,-0.180625,-0.153922,-0.636679,0.129909,0.306152,0.0127387,0.141049,-0.0254773,23.5074,23.3513,23.2094,23.3371,23.2378,23.3087,23.1952,
7,6.28309,0.281454,3.1432,4.01,0.000981715,0.962039,1.57038,-0.000132374,0.262805,0.0253892,-0.0984857,0.00153898,-0.0145853,0,1.91599,0.475518,-2.31468,-0.174973,-0.394163,0.650671,0.857933,-0.0366047,-9.24483,-0.211629,4.13378,-0.000286461,2.16108,-0.00375758,0,0,-0,0.395143,0.00138105,0.383922,0.0110989,-0.00847718,-0.133516,0,0,-0.005,0,0,-0.15,0,0,-0,-0.582111,11.5732,1.17049,-6.42312,0.446831,-2.25489,-0.180833,-0.169381,-0.902488,0.0805664,0.523682,0.0127387,0.116891,-0.0281982,23.4932,23.3655,23.2236,23.3513,23.2662,23.3371,23.1811,
8,6.28309,0.28171,3.14322,4.0099,0.000985521,0.962025,1.57038,-0.000132376,0.259571,0.0267396,-0.0983155,0.00174438,-0.0125384,0,1.91391,0.475522,-2.31204,-0.173959,-0.393804,0.649678,0.857342,-0.0366353,-9.24738,-0.211707,4.13214,-0.000330641,2.16107,-0.00375531,0,0,-0,0.395143,0.00138105,0.383922,0.0106672,-0.00892067,-0.131966,0,0,-0.005,0,0,-0.15,0,0,-0,-0.570574,11.6353,1.1567,-6.4294,0.432843,-2.21435,-0.178574,-0.169381,-0.934709,0.0563965,0.515877,0.0180152,0.116821,-0.0205405,23.4932,23.3655,23.2094,23.3513,23.2662,23.3371,23.2094,
9,6.28309,0.281962,3.14325,4.0098,0.000988375,0.962014,1.57038,-0.000137565,0.255782,0.0263307,-0.0983155,0.00181667,-0.0116142,0,1.91294,0.47543,-2.31134,-0.173218,-0.39424,0.648859,0.857977,-0.0366725,-9.24999,-0.211682,4.13051,-0.000324523,2.16107,-0.00375447,0,0,-0,0.395143,0.00138105,0.383922,0.0100907,-0.00877139,-0.130357,0,0,-0.005,0,0,-0.15,0,0,-0,-0.589685,11.5887,1.1567,-6.38155,0.430283,-2.19624,-0.185282,-0.169189,-0.966931,0.041081,0.531982,0.0127387,0.104736,-0.0245033,23.4932,23.3797,23.2236,23.3655,23.2662,23.3371,23.1952,
