Index,joint_angle_0,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_accel_0,joint_accel_1,joint_accel_2,joint_accel_3,joint_accel_4,joint_accel_5,joint_accel_6,constraint_tau_0,constraint_tau_1,constraint_tau_2,constraint_tau_3,constraint_tau_4,constraint_tau_5,constraint_tau_6,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_y,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_y,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z,joint_torque_0,joint_torque_1,joint_torque_2,joint_torque_3,joint_torque_4,joint_torque_5,joint_torque_6,actuar_current_0,actuar_current_1,actuar_current_2,actuar_current_3,actuar_current_4,actuar_current_5,actuar_current_6,actuar_voltage_0,actuar_voltage_1,actuar_voltage_2,actuar_voltage_3,actuar_voltage_4,actuar_voltage_5,actuar_voltage_6
0,6.27374,1.53084,3.15246,4.23933,6.2709,2.00146,1.55355,0.0172862,-0.00621224,-0.0256593,-0.0494278,0.000699911,-0.000217094,1.0598e-05,0.0808876,-6.34959,1.45977,150.733,1.02138,-157.171,0.677479,-0.0574073,-20,-0.354332,20,-0.149129,-1.10835,0.00111809,0.00120927,0.00210907,-0.00223769,0.494434,0.000805795,0.0159152,-0.0125096,0.000449115,0.00393785,1.49067,-0.00843274,0.005,44.72,-0.252982,0.15,0.0483708,0.0843627,-0.0895078,1.13409,-0.41766,-1.74839,-3.42104,0.956497,-1.37296,-0.00539712,0.555908,-0.354584,-0.112793,0.0569691,0.00569691,0.370605,-0.104736,23.479,23.3655,23.1952,23.3229,23.2378,23.2946,23.1527,
1,6.27374,1.53084,3.15246,4.23933,6.2709,2.00146,1.55355,0.0172862,-0.00621224,-0.0256593,-0.0494278,0.000699911,-0.000217094,1.0598e-05,0.123907,-6.77242,0.617528,152.641,1.1784,-159.317,1.71012,-0.0455769,-20,-0.430312,20,-0.100809,-1.10058,0.00721219,0,0,0,0.494434,0.000805795,0.0159152,-0.0125096,0.000449115,0.00393785,1.5,0,0.005,45.3753,-0.0134735,0.0318645,-0.0510681,-0.08736,0.0323309,1.13409,-0.41766,-1.74839,-3.42104,0.956497,-1.37296,-0.00539712,0.555908,-0.354584,-0.112793,0.0569691,0.00569691,0.370605,-0.104736,23.479,23.3655,23.1952,23.3229,23.2378,23.2946,23.1527,
2,6.27376,1.53083,3.15243,4.23928,6.2709,2.00146,1.55355,0.0170523,-0.00546156,-0.0263307,-0.0483983,0.00115757,-0.000217094,1.0598e-05,0.125029,-6.77623,0.615546,152.64,1.17899,-159.321,1.71147,-0.0452479,-20,-0.430564,20,-0.100739,-1.10022,0.00720727,0,0,0,0.494434,0.000805795,0.0159152,-0.0124195,0.000777237,0.00362108,1.5,0,0.005,45.3753,-0.0134735,0.0318645,-0.0510681,-0.08736,0.0323309,1.16509,-0.359676,-1.75846,-3.324,0.926987,-1.33598,0.00561666,0.596409,-0.346436,-0.112793,0.0161133,0.00402832,0.362571,-0.108839,23.479,23.3513,23.1952,23.3087,23.2236,23.3229,23.1669,
3,6.27377,1.53083,3.1524,4.23924,6.27091,2.00146,1.55355,0.016746,-0.00441911,-0.0275499,-0.0469493,0.00224612,-0.000217094,1.0598e-05,0.124045,-6.78265,0.652953,152.649,1.17813,-159.335,1.67586,-0.0455029,-20,-0.427624,20,-0.102845,-1.09986,0.00766981,-3.02061e-05,-4.66851e-05,1.1748e-05,0.494434,0.000805795,0.0159152,-0.0122899,0.00135056,0.00318223,1.5002,-1.98091e-05,0.005,45.3786,-0.0239114,0.0413677,-0.054008,-0.088694,0.0314231,1.15431,-0.252558,-1.70528,-3.22688,0.926272,-1.25526,-0.00569008,0.58819,-0.346436,-0.0966797,-0.0332184,0.012085,0.350464,-0.129158,23.479,23.3513,23.1952,23.3087,23.2378,23.3087,23.1527,
4,6.27377,1.53083,3.1524,4.23924,6.27091,2.00146,1.55355,0.016746,-0.00441911,-0.0275499,-0.0469493,0.00224612,-0.000217094,1.0598e-05,0.120498,-6.78501,0.720063,152.651,1.17483,-159.34,1.61203,-0.0464782,-20,-0.422158,20,-0.106552,-1.0999,0.00842051,-5.98751e-05,-8.92418e-05,2.13904e-05,0.494434,0.000805795,0.0159152,-0.0122899,0.00135056,0.00318223,1.50038,-4.65759e-05,0.005,45.3802,-0.041914,0.054533,-0.0585527,-0.089635,0.029089,1.15431,-0.252558,-1.70528,-3.22688,0.926272,-1.25526,-0.00569008,0.58819,-0.346436,-0.0966797,-0.0332184,0.012085,0.350464,-0.129158,23.479,23.3513,23.1952,23.3087,23.2378,23.3087,23.1527,
5,6.27379,1.53082,3.15237,4.23919,6.27092,2.00146,1.55355,0.0162058,-0.00405146,-0.0289004,-0.0467269,0.00450331,-0.000227686,1.05981e-05,0.121647,-6.78847,0.718522,152.651,1.17534,-159.343,1.61281,-0.0461528,-20,-0.422359,20,-0.106528,-1.09956,0.00841857,-5.98751e-05,-8.92418e-05,2.13904e-05,0.494434,0.000805795,0.0159152,-0.0123298,0.00216483,0.00303991,1.50038,-4.65759e-05,0.005,45.3802,-0.041914,0.054533,-0.0585527,-0.089635,0.029089,1.14846,-0.175256,-1.6674,-3.05859,0.927298,-1.23583,-0.00984205,0.604248,-0.370693,-0.0805664,-0.0563965,0.00402832,0.342502,-0.12085,23.479,23.3513,23.1811,23.3087,23.2378,23.3087,23.1385,
6,6.27379,1.53082,3.15237,4.23919,6.27092,2.00146,1.55355,0.0162058,-0.00405146,-0.0289004,-0.0467269,0.00450331,-0.000227686,1.05981e-05,0.116646,-6.79482,0.813082,152.668,1.16897,-159.365,1.52175,-0.0475279,-20,-0.414707,20,-0.111802,-1.09961,0.00942222,-9.10997e-05,-0.000132883,2.99742e-05,0.494434,0.000805795,0.0159152,-0.0123298,0.00216483,0.00303991,1.50057,-8.29186e-05,0.005,45.3869,-0.0674324,0.0588026,-0.0643936,-0.0917777,0.0241396,1.14846,-0.175256,-1.6674,-3.05859,0.927298,-1.23583,-0.00984205,0.604248,-0.370693,-0.0805664,-0.0563965,0.00402832,0.342502,-0.12085,23.479,23.3513,23.1811,23.3087,23.2378,23.3087,23.1385,
7,6.27381,1.53082,3.15234,4.23914,6.27092,2.00146,1.55355,0.0172687,-0.00324117,-0.0297107,-0.0491577,0.00634176,-0.000238094,1.05979e-05,0.117775,-6.79844,0.811529,152.668,1.16954,-159.369,1.52293,-0.0471899,-20,-0.414937,20,-0.111736,-1.09923,0.00941763,-9.10997e-05,-0.000132883,2.99742e-05,0.494434,0.000805795,0.0159152,-0.0132435,0.00214578,0.00278804,1.50057,-8.29186e-05,0.005,45.3869,-0.0674324,0.0588026,-0.0643936,-0.0917777,0.0241396,1.14415,-0.124544,-1.67308,-2.89062,0.958334,-1.26631,-0.00154241,0.58819,-0.370693,-0.0569691,-0.072956,-0.00569691,0.33042,-0.125461,23.4648,23.3655,23.2094,23.3087,23.2378,23.3087,23.1527,
8,6.27381,1.53082,3.15234,4.23914,6.27092,2.00146,1.55355,0.0172687,-0.00324117,-0.0297107,-0.0491577,0.00634176,-0.000238094,1.05979e-05,0.117627,-6.82089,0.813258,152.763,1.16937,-159.478,1.52679,-0.0472307,-20,-0.41516,20,-0.111889,-1.09895,0.00986185,-0.000122423,-0.000179838,4.10662e-05,0.494434,0.000805795,0.0159152,-0.0132435,0.00214578,0.00278804,1.50076,-0.000113948,0.005,45.4202,-0.0677919,0.0663587,-0.0687521,-0.100222,0.0233571,1.14415,-0.124544,-1.67308,-2.89062,0.958334,-1.26631,-0.00154241,0.58819,-0.370693,-0.0569691,-0.072956,-0.00569691,0.33042,-0.125461,23.4648,23.3655,23.2094,23.3087,23.2378,23.3087,23.1527,
9,6.27382,1.53082,3.15231,4.23909,6.27093,2.00146,1.55355,0.0165507,-0.00297107,-0.0307911,-0.0488998,0.00638265,-0.000254159,1.0598e-05,0.118821,-6.8249,0.811431,152.763,1.17005,-159.482,1.52815,-0.0468804,-20,-0.415396,20,-0.11182,-1.09855,0.00985688,-0.000122423,-0.000179838,4.10662e-05,0.494434,0.000805795,0.0159152,-0.0132461,0.0027404,0.00268356,1.50076,-0.000113948,0.005,45.4202,-0.0677919,0.0663587,-0.0687521,-0.100222,0.0233571,1.16442,-0.083268,-1.67692,-2.74111,0.934239,-1.25438,-0.0134069,0.540336,-0.539795,-0.0402832,0.0805664,-0.012085,0.318263,-0.116821,23.479,23.3513,23.1952,23.3087,23.252,23.3229,23.1669,
